filename,class,neck_angle,spine_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,shoulder_hip_ratio,shoulder_y,hip_y,knee_y,shoulder_hip_dy,hip_knee_dy,nose_shoulder_dy,trunk_lean
5dc9b425fd85fd145de9153c_girl-sitting-in-chair_jpg.rf.12bb2fff7b1dec2cd18aa0e0d37461c5.jpg,correct,137.22925,128.9805,96.0954,104.128494,115.12745,85.164665,0.6356323,0.32247418,0.57413054,0.5996895,0.25165635,0.025558949,0.09217957,0.061121255
5dc9b425fd85fd145de9153c_girl-sitting-in-chair_jpg.rf.904ee06942b89b174c0eeddbdcf25a3f.jpg,correct,139.38722,126.64077,93.60444,105.73143,113.68008,90.96918,0.6381461,0.32414162,0.5658268,0.5825569,0.24168515,0.01673013,0.09468421,0.05974266
back-b-1-1-400x600xc_jpg.rf.10d582649549ad5f17b032c50440ccdd.jpg,correct,120.601585,98.216736,122.94434,96.72278,151.0679,128.5012,0.59468186,0.3938841,0.57353187,0.53270745,0.17964777,-0.040824413,0.06938282,0.095388055
back-b-1-1-400x600xc_jpg.rf.3059d35b906fb423fb0856f7f4de56e1.jpg,correct,113.55269,135.80196,103.49022,90.93306,109.70069,86.93676,0.7048301,0.4478949,0.68924636,0.6587581,0.24135146,-0.030488253,0.1244196,0.05370018
back-b-1-1-400x600xc_jpg.rf.d965546633697c14e301c1f75e175a33.jpg,correct,108.502426,139.90001,95.6945,95.45004,88.807365,97.15334,0.6166357,0.75092506,0.78900844,0.5266994,0.038083375,-0.262309,0.1185537,-0.24633431
frame_0001_jpg.rf.f4826227ae19e9e79f48e6d4de17f124.jpg,correct,83.469,97.53728,111.75091,98.95163,128.90906,133.47684,0.5493081,0.2911016,0.4399761,0.48936117,0.14887449,0.04938507,0.07561827,0.007855058
frame_0003_jpg.rf.5fc2c3d0f2ba551b7e79c1a8d10b190e.jpg,correct,129.30515,148.18312,95.24768,116.741425,102.07545,128.03802,0.60361224,0.31576556,0.5244205,0.48673967,0.20865494,-0.037680835,0.10124639,-0.002189219
frame_0004_jpg.rf.2bb60b2801408682d9a3a2a6a5e8856d.jpg,correct,124.75664,131.48686,112.48647,77.41886,136.91666,129.62196,0.56764996,0.30260772,0.50856686,0.50490576,0.20595914,-0.003661096,0.088347614,0.0077699423
frame_0005_jpg.rf.2e592dd465afc323168fe0110ccb40ae.jpg,correct,135.07095,142.56567,96.74823,101.00472,102.963745,121.146416,0.60115767,0.31163645,0.52887183,0.49961194,0.21723539,-0.02925989,0.09734097,-0.008098006
frame_0008_jpg.rf.2ce4219357b412157a82530ddc7e65c7.jpg,correct,62.602787,132.93243,100.24259,71.58059,150.69154,146.82199,0.48993602,0.26585793,0.38479215,0.46839088,0.118934214,0.08359873,0.053198487,0.036529183
frame_0009_jpg.rf.93129a902bbda2973892bb7d6b968dc9.jpg,correct,112.19779,95.83656,105.45163,99.13311,129.17624,125.521935,0.53086346,0.28953445,0.43441126,0.4827792,0.14487681,0.048367947,0.07900891,0.012276351
frame_0010_jpg.rf.ae5c31530abb38d717a59c399fe31eed.jpg,correct,122.978,122.26044,119.288574,96.44535,134.66676,128.27103,0.5488205,0.2980705,0.46604544,0.46807477,0.16797495,0.0020293295,0.079499274,0.016300976
frame_0012_jpg.rf.d129061aac515683b3f412b6bc374dfb.jpg,correct,118.55168,104.00364,122.71888,112.01899,143.18369,149.33675,0.556889,0.28422135,0.4251385,0.48397106,0.14091715,0.058832556,0.065039694,0.024760902
frame_0013_jpg.rf.391a7adc41022e3d9302b87c4cc91294.jpg,correct,105.77934,103.96655,120.10563,97.43472,137.26994,133.98701,0.5338269,0.29206675,0.4446895,0.46784976,0.15262276,0.023160249,0.0768781,0.02064085
frame_0014_jpg.rf.2adfb8cce8a8668d44f3c3abc5e87abb.jpg,correct,121.611664,147.06012,106.4959,108.314735,120.280106,129.90962,0.5785896,0.3135304,0.514888,0.5133766,0.2013576,-0.001511395,0.09616962,0.019482553
frame_0015_jpg.rf.26841c95b828ebc23db75e08f93ccb44.jpg,correct,123.46674,126.978386,111.46223,102.69965,128.23253,127.0242,0.5450567,0.29974842,0.45504674,0.49051407,0.15529832,0.035467327,0.08850178,0.006357312
frame_0016_jpg.rf.9ad48214301cd3e001c8feac810fd2a3.jpg,correct,89.32558,115.44385,118.0476,91.41493,146.66862,147.13437,0.5718149,0.28174442,0.4192502,0.4830108,0.13750577,0.06376061,0.0694541,0.034260154
frame_0018_jpg.rf.192ad6bb0f3eec72ccf7b38acd691ea8.jpg,correct,95.497025,128.83789,144.57436,132.21509,150.34404,153.41005,0.55718213,0.27802286,0.39705527,0.44215512,0.11903241,0.045099854,0.066015154,0.042645633
frame_0019_jpg.rf.b73c2cf14e14713810c42cbe32d27f8f.jpg,correct,109.501945,98.54164,134.62741,130.45801,149.19159,150.93039,0.5639035,0.2679181,0.39302427,0.44527385,0.12510616,0.05224958,0.053771287,0.037215948
frame_0021_jpg.rf.ec128ed7d7cbee113f863ce3bd0edc52.jpg,correct,83.129166,75.33516,145.09529,112.97452,168.72658,128.99367,0.36314353,0.2711239,0.37923336,0.45342293,0.108109474,0.07418957,0.05066371,0.045856237
frame_0022_jpg.rf.06c944a353134a419c4484a2faade59e.jpg,correct,100.072495,122.67571,140.19926,143.22606,146.23833,153.36145,0.6088874,0.2810228,0.4041911,0.45294574,0.12316832,0.048754632,0.06899464,0.034493387
frame_0023_jpg.rf.6a932afc75385262a2795d760b3d1463.jpg,correct,121.3158,138.72876,104.581856,100.391655,116.54499,120.605194,0.5906854,0.2990085,0.49234948,0.46323705,0.19334099,-0.029112428,0.085591614,0.027645528
frame_0024_jpg.rf.6242fe72514c4ca97daabe0015770887.jpg,correct,106.10854,98.29537,134.59508,132.30305,143.15942,150.7799,0.5741972,0.26909542,0.3960158,0.44316438,0.12692037,0.047148585,0.06078875,0.036172092
frame_0026_jpg.rf.fdaf9cb036af742382882a0826fdaafb.jpg,correct,117.840454,118.59063,131.5406,119.33643,144.47461,142.93388,0.5556944,0.27922595,0.42860395,0.45337874,0.149378,0.02477479,0.06918785,0.031839073
frame_0028_jpg.rf.b82ed9b05934b6a08c95e112e64139f3.jpg,correct,121.89592,114.505135,128.77893,115.65078,143.45251,143.77191,0.5985853,0.27558535,0.41777673,0.4600423,0.14219138,0.042265564,0.060718596,0.03338343
frame_0044_jpg.rf.8f576574521ef875891658f37910069e.jpg,correct,139.16075,128.52974,81.27316,91.03102,77.11826,99.863045,0.59380877,0.30664384,0.5659591,0.5353857,0.25931525,-0.030573368,0.09509879,-0.026037574
frame_0049_jpg.rf.577bebd3972d56eda2294d0c8b0f0860.jpg,correct,134.6123,124.14472,80.74684,93.661705,74.99682,92.773895,0.58485526,0.30391514,0.55070066,0.5300312,0.24678552,-0.02066946,0.09559545,-0.027702808
frame_0050_jpg.rf.5c751a82db2df129e977740854582154.jpg,correct,133.58475,126.49333,80.158585,85.52468,78.84875,93.79063,0.59361833,0.3011497,0.5465927,0.5075522,0.24544302,-0.039040506,0.09132972,-0.01260972
frame_0051_jpg.rf.a13da933ef55f4054353a0161218bf69.jpg,correct,134.33168,115.83593,86.304726,100.83642,83.130554,110.02956,0.6048986,0.30531725,0.56737494,0.5539074,0.2620577,-0.01346755,0.09309539,-0.028182566
frame_0053_jpg.rf.8f18488577426e1db9d07121c02bb049.jpg,correct,132.11798,121.54959,90.58337,86.389404,96.75558,110.83178,0.5984853,0.30101585,0.55440706,0.5266552,0.2533912,-0.027751863,0.09313321,0.0018981099
frame_0054_jpg.rf.28e95ba3e0a31f8b9ea4790e312faf22.jpg,correct,129.94641,125.77178,98.07417,92.50804,111.15153,121.19734,0.58469045,0.30057302,0.54306555,0.5249301,0.24249253,-0.018135428,0.08478567,0.0336293
frame_0055_jpg.rf.bcd59a1efeb7a05387b4ba7f6d1c9d9c.jpg,correct,127.98788,125.80379,97.25267,87.473915,114.599655,124.32274,0.5862405,0.29978484,0.54604614,0.5277882,0.2462613,-0.018257916,0.08333734,0.03225285
frame_0056_jpg.rf.374362f100f486b3392f5a500d06751a.jpg,correct,130.46252,127.53578,90.27448,79.425964,103.5741,101.55227,0.5784528,0.29822856,0.5495145,0.5270337,0.2512859,-0.022480786,0.086586595,0.025587797
frame_0057_jpg.rf.6dab3883a8508af6ab56adac775daa5f.jpg,correct,129.20164,131.58519,92.95935,77.10141,116.56124,118.856445,0.5832016,0.29726338,0.54840875,0.53466356,0.25114536,-0.013745189,0.07818358,0.043861687
frame_0058_jpg.rf.c221ee1d8d2e34c04c70c6ddade6e000.jpg,correct,123.96955,130.01843,100.52158,72.818634,131.0216,121.12711,0.56848973,0.29197872,0.5185524,0.51339585,0.2265737,-0.0051565766,0.077263534,0.060539603
frame_0060_jpg.rf.f29e101d26cb82d0781a2e8c35b8e2e5.jpg,correct,128.96687,128.10844,91.95453,73.73867,109.04606,118.40509,0.5888922,0.28881633,0.5285911,0.5197793,0.23977476,-0.008811772,0.069878995,0.051398754
frame_0061_jpg.rf.609872bfc2676646811b1bfb9af64fcb.jpg,correct,135.96739,127.84873,85.96296,73.34971,100.404945,118.46156,0.5834803,0.2919798,0.53200287,0.51216865,0.24002308,-0.01983422,0.068596214,0.061757803
frame_0062_jpg.rf.47fac888a5c2a9590d2aa511875c3323.jpg,correct,129.44887,130.57115,81.673584,66.21611,99.60173,113.43555,0.59942067,0.2917914,0.53998923,0.50548506,0.24819782,-0.034504175,0.07368657,0.054681182
frame_0063_jpg.rf.8a9b648444ea53aa9ef62af6b2f9b575.jpg,correct,135.86803,128.397,73.73508,66.24702,86.018616,103.560104,0.59781224,0.2904997,0.5349643,0.49886447,0.24446464,-0.03609985,0.069274694,0.055236876
frame_0064_jpg.rf.968ea21cd4a2c066e0546e82b1cc7d9c.jpg,correct,127.99846,128.34256,81.99984,70.15715,97.01642,111.27401,0.6053459,0.29031658,0.53013384,0.5021217,0.23981726,-0.028012156,0.07508993,0.04966569
frame_0065_jpg.rf.e060b90beedb761890157a35045a7209.jpg,correct,130.64642,130.15588,84.61125,70.58401,97.780945,101.7774,0.6084565,0.29130542,0.5350532,0.5148425,0.24374777,-0.020210683,0.07371202,0.061242342
frame_0068_jpg.rf.a5861a059cb385e04ce5d68946f59a40.jpg,correct,131.30038,128.61769,85.09302,70.207466,100.7692,113.946556,0.5983003,0.28400552,0.5229866,0.515758,0.23898107,-0.007228613,0.061344445,0.07809493
